year_id,Year,SongCount
0,1969,5
1,1970,9
2,1971,23
3,1972,9
4,1973,17
5,1974,12
6,1975,1
7,1976,3
8,1977,5
9,1978,18
10,1979,49
11,1980,6
12,1981,5
13,1982,11
14,1983,25
15,1984,8
16,1985,96
17,1986,28
18,1987,14
19,1988,22
20,1989,58
21,1990,98
22,1991,53
23,1992,84
24,1993,41
25,1994,55
26,1995,54
27,1996,71
28,1997,48
29,1998,23
30,1999,56
31,2000,39
32,2001,21
33,2002,31
34,2003,23
35,2004,12
36,2005,10
37,2006,12
38,2007,10
39,2008,1
40,2009,8
41,2010,3
42,2011,3
43,2012,1
44,2013,2
45,2014,6
46,2016,2
47,2017,2
48,2018,2
49,2019,3
50,2020,3
51,2021,1
