Date,Close,YearMonth,YTM,YTM_perc
2022-12-30,18105.3,202212,479.6,2.72
2022-11-30,18758.35,202211,1132.65,6.43
2022-10-31,18012.2,202210,386.5,2.19
2022-09-30,17094.35,202209,-531.35,-3.01
2022-08-30,17759.3,202208,133.6,0.76
2022-07-29,17158.25,202207,-467.45,-2.65
2022-06-30,15780.25,202206,-1845.45,-10.47
2022-05-31,16584.55,202205,-1041.15,-5.91
2022-04-29,17102.55,202204,-523.15,-2.97
2022-03-31,17464.75,202203,-160.95,-0.91
2022-02-28,16793.9,202202,-831.8,-4.72
2022-01-31,17339.85,202201,-285.85,-1.62
2022-01-01,17339.85,202201,-285.85,0
