taxable_income_in_Rs,tax_in_%,taxAmount_in_Rs
250000,0.0,0
275000,0.47,1300
300000,0.87,2600
325000,1.2,3900
350000,1.49,5200
375000,1.73,6500
400000,1.95,7800
425000,2.14,9100
450000,2.31,10400
475000,2.46,11700
500000,2.6,13000
525000,2.97,15600
550000,3.31,18200
575000,3.62,20800
600000,3.9,23400
625000,4.16,26000
650000,4.4,28600
675000,4.62,31200
700000,4.83,33800
725000,5.02,36400
750000,5.2,39000
775000,5.54,42900
800000,5.85,46800
825000,6.15,50700
850000,6.42,54600
875000,6.69,58500
900000,6.93,62400
925000,7.17,66300
950000,7.39,70200
975000,7.6,74100
1000000,7.8,78000
1025000,8.12,83200
1050000,8.42,88400
1075000,8.71,93600
1100000,8.98,98800
1125000,9.24,104000
1150000,9.5,109200
1175000,9.74,114400
1200000,9.97,119600
1225000,10.19,124800
1250000,10.4,130000
1275000,10.71,136500
1300000,11.0,143000
1325000,11.28,149500
1350000,11.56,156000
1375000,11.82,162500
1400000,12.07,169000
1425000,12.32,175500
1450000,12.55,182000
1475000,12.78,188500
1500000,13.0,195000
1525000,13.3,202800
1550000,13.59,210600
1575000,13.87,218400
1600000,14.14,226200
1625000,14.4,234000
1650000,14.65,241800
1675000,14.9,249600
1700000,15.14,257400
1725000,15.37,265200
1750000,15.6,273000
1775000,15.82,280800
1800000,16.03,288600
1825000,16.24,296400
1850000,16.44,304200
1875000,16.64,312000
1900000,16.83,319800
1925000,17.02,327600
1950000,17.2,335400
1975000,17.38,343200
2000000,17.55,351000
2025000,17.72,358800
2050000,17.88,366600
2075000,18.04,374400
2100000,18.2,382200
2125000,18.35,390000
2150000,18.5,397800
2175000,18.65,405600
2200000,18.79,413400
2225000,18.93,421200
2250000,19.07,429000
2275000,19.2,436800
2300000,19.33,444600
2325000,19.46,452400
2350000,19.58,460200
2375000,19.71,468000
2400000,19.82,475800
2425000,19.94,483600
2450000,20.06,491400
2475000,20.17,499200
2500000,20.28,507000
2525000,20.39,514800
2550000,20.49,522600
2575000,20.6,530400
2600000,20.7,538200
2625000,20.8,546000
2650000,20.9,553800
2675000,20.99,561600
2700000,21.09,569400
2725000,21.18,577200
2750000,21.27,585000
2775000,21.36,592800
2800000,21.45,600600
2825000,21.54,608400
2850000,21.62,616200
2875000,21.7,624000
2900000,21.79,631800
2925000,21.87,639600
2950000,21.95,647400
2975000,22.02,655200
3000000,22.1,663000
